City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
94,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
95,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
98,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
99,Yangi Marg`ilon,UZ,72.32,scattered clouds,40.4272,71.7189,Ikathouse
102,Arraial do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
104,San Angelo,US,74.41,few clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
105,Awjilah,LY,82.11,clear sky,29.1081,21.2869,المنزل
106,Mar del Plata,AR,69.82,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
107,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
109,Monrovia,LR,87.57,overcast clouds,6.3005,-10.7969,Sunset Inn
111,Bandarbeyla,SO,83.01,broken clouds,9.4942,50.8122,JABIR HOTEL
112,Bengkulu,ID,77.74,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Kabwe,ZM,67.69,broken clouds,-14.4469,28.4464,Tuskers
116,Roald,NO,63.52,scattered clouds,62.5833,6.1333,Flem Cabins
117,Kismayo,SO,83.03,overcast clouds,-0.3582,42.5454,Agan-Hotel
118,Faanui,PF,81.18,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Port Elizabeth,ZA,66.49,few clouds,-33.918,25.5701,39 On Nile Guest House
122,Kānker,IN,85.19,scattered clouds,20.2719,81.4931,STARiHOTEL Kanker
123,Arrondissement de Saint-Dizier,FR,65.8,clear sky,48.4167,5.0833,Le Val du Roy - Chambres d'hôtes
126,Morros,BR,84.9,broken clouds,-9.4467,-46.3003,
127,São Filipe,CV,72.21,scattered clouds,14.8961,-24.4956,Hotel Xaguate
128,Vung Tau,VN,82.67,scattered clouds,10.346,107.0843,Seaside Resort
130,Tauranga,NZ,60.93,broken clouds,-37.6861,176.1667,Hotel On Devonport
134,San-Pédro,CI,76.77,overcast clouds,4.7485,-6.6363,Hotel Maria
137,Korem,ET,63.66,overcast clouds,12.5058,39.5228,Lakomeliza Hotel
139,Chui,UY,70.75,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
140,Caravelas,BR,81.54,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
142,Labuhan,ID,81.36,scattered clouds,-6.8844,112.2051,DoubleFAG
143,Ganta,LR,80.53,overcast clouds,7.3022,-8.5308,
144,Faya,SA,72.12,moderate rain,18.3851,42.4509,املاك خالد الشعشوع
147,Los Llanos de Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
149,Pisco,PE,69.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
150,Sa Kaeo,TH,74.97,overcast clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
153,Virginia Beach,US,60.06,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
155,Morón,AR,71.01,overcast clouds,-34.6534,-58.6198,Hotel Morón
156,Arzgir,RU,60.04,scattered clouds,45.3728,44.2206,
157,Alta Floresta,BR,84.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
158,Bontang,ID,81.03,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
