City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
86,Castro,-24.7911,-50.0119,66.16,55,42,3.11,scattered clouds,BR,2022-04-17 15:49:17
87,Bambous Virieux,-20.3428,57.7575,79.21,94,40,6.91,moderate rain,MU,2022-04-17 15:49:17
88,Alofi,-19.0595,-169.9187,71.49,100,56,0.0,broken clouds,NU,2022-04-17 15:49:17
89,George Town,5.4112,100.3354,83.95,88,40,5.75,moderate rain,MY,2022-04-17 15:49:18
90,Hobart,-42.8794,147.3294,64.26,73,40,0.0,scattered clouds,AU,2022-04-17 15:39:46
91,Severo-Kuril'sk,50.6789,156.125,29.23,79,38,11.14,scattered clouds,RU,2022-04-17 15:49:18
92,Patea,-39.7583,174.4833,48.92,90,90,5.23,overcast clouds,NZ,2022-04-17 15:49:19
93,Moose Factory,51.2585,-80.6094,21.2,73,100,9.22,overcast clouds,CA,2022-04-17 15:49:19
94,Praia,14.9215,-23.5087,82.94,51,20,16.11,few clouds,CV,2022-04-17 15:50:13
95,Puerto Ayora,-0.7393,-90.3518,75.16,84,92,7.74,light rain,EC,2022-04-17 15:50:20
96,Pevek,69.7008,170.3133,0.72,95,100,3.04,overcast clouds,RU,2022-04-17 15:50:20
97,Half Moon Bay,37.4636,-122.4286,51.84,79,100,5.75,overcast clouds,US,2022-04-17 15:50:21
98,Camacha,33.0833,-16.3333,63.82,68,20,23.02,few clouds,PT,2022-04-17 15:50:21
99,Yangi Marg`ilon,40.4272,71.7189,72.32,24,42,4.61,scattered clouds,UZ,2022-04-17 15:50:21
100,Rochester,43.1548,-77.6156,41.58,64,75,13.8,broken clouds,US,2022-04-17 15:49:05
101,Berlevåg,70.8578,29.0864,37.4,98,100,8.79,overcast clouds,NO,2022-04-17 15:50:22
102,Arraial do Cabo,-22.9661,-42.0278,78.76,83,75,11.5,broken clouds,BR,2022-04-17 15:50:22
103,Tuktoyaktuk,69.4541,-133.0374,3.2,66,100,6.91,overcast clouds,CA,2022-04-17 15:50:23
104,San Angelo,31.4638,-100.437,74.41,43,20,8.99,few clouds,US,2022-04-17 15:50:23
105,Awjilah,29.1081,21.2869,82.11,24,6,18.59,clear sky,LY,2022-04-17 15:50:24
106,Mar del Plata,-38.0023,-57.5575,69.82,83,40,5.99,scattered clouds,AR,2022-04-17 15:50:24
107,Ribeira Grande,38.5167,-28.7,64.8,59,20,19.57,few clouds,PT,2022-04-17 15:50:24
108,Yellowknife,62.456,-114.3525,5.56,56,20,6.91,few clouds,CA,2022-04-17 15:50:25
109,Monrovia,6.3005,-10.7969,87.57,73,100,7.09,overcast clouds,LR,2022-04-17 15:50:25
